Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,5,2,1,5,2,12,5,9,83.33333333333334,44.44444444444444,66.66666666666666
Test 1,2,1,4,5,1,2,8,1,5,75.0,80.0,76.92307692307693
Test 1,3,4,5,1,1,2,11,0,0,81.81818181818183,0,81.81818181818183
Test 1,4,1,5,5,1,1,6,1,6,83.33333333333334,83.33333333333334,83.33333333333334
Test 1,5,1,1,4,5,0,0,0,7,0,100.0,100.0
Test 2,1,1,5,4,1,4,12,0,3,66.66666666666666,100.0,73.33333333333333
Test 2,2,5,5,2,1,1,5,0,4,80.0,100.0,88.88888888888889
Test 2,3,5,1,1,5,0,4,0,4,100.0,100.0,100.0
Test 2,4,1,1,5,5,0,4,2,8,100.0,75.0,83.33333333333334
Test 2,5,4,5,1,1,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 1,1,5,5,1,2,4,12,0,5,66.66666666666666,100.0,76.47058823529412
BLOCK 1,2,5,1,2,5,2,12,0,1,83.33333333333334,100.0,84.61538461538461
BLOCK 1,3,1,5,5,1,0,2,6,18,100.0,66.66666666666666,70.0
BLOCK 1,4,1,1,5,4,1,6,4,11,83.33333333333334,63.63636363636363,70.58823529411765
BLOCK 1,5,5,1,2,5,2,10,0,1,80.0,100.0,81.81818181818183
BLOCK 1,6,1,1,5,4,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 1,7,2,1,5,5,0,4,3,9,100.0,66.66666666666666,76.92307692307693
BLOCK 1,8,1,1,5,5,0,4,1,6,100.0,83.33333333333334,90.0
BLOCK 1,9,5,2,1,5,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 1,10,4,1,1,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 1,11,2,5,5,1,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 1,12,4,5,1,1,1,6,2,9,83.33333333333334,77.77777777777779,80.0
BLOCK 1,13,5,1,1,4,1,8,1,3,87.5,66.66666666666666,81.81818181818183
BLOCK 2,1,5,1,1,5,1,4,5,16,75.0,68.75,70.0
BLOCK 2,2,5,1,1,4,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 2,3,5,1,1,5,1,5,3,11,80.0,72.72727272727273,75.0
BLOCK 2,4,1,5,5,1,1,6,2,8,83.33333333333334,75.0,78.57142857142857
BLOCK 2,5,1,5,5,1,3,10,7,18,70.0,61.111111111111114,64.28571428571429
BLOCK 2,6,5,4,1,1,0,1,0,6,100.0,100.0,100.0
BLOCK 2,7,1,5,5,2,2,8,0,3,75.0,100.0,81.81818181818183
