Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,5,5,2,1,4,15,1,2,73.33333333333333,50.0,70.58823529411765
Test 1,2,5,5,2,1,2,11,0,0,81.81818181818183,0,81.81818181818183
Test 1,3,5,1,2,5,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
Test 1,4,2,1,5,5,0,2,4,13,100.0,69.23076923076923,73.33333333333333
Test 1,5,2,1,5,5,0,1,2,10,100.0,80.0,81.81818181818183
Test 2,1,5,2,1,5,1,9,0,0,88.88888888888889,0,88.88888888888889
Test 2,2,1,2,5,5,1,5,0,4,80.0,100.0,88.88888888888889
Test 2,3,2,5,5,1,2,8,0,3,75.0,100.0,81.81818181818183
Test 2,4,5,5,1,2,1,7,2,8,85.71428571428571,75.0,80.0
Test 2,5,5,1,1,4,0,2,0,5,100.0,100.0,100.0
BLOCK 1,1,4,1,1,5,0,2,4,15,100.0,73.33333333333333,76.47058823529412
BLOCK 1,2,1,1,5,4,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 1,3,5,5,1,1,2,11,10,19,81.81818181818183,47.368421052631575,60.0
BLOCK 1,4,5,2,1,5,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 1,5,5,1,1,4,0,0,0,7,0,100.0,100.0
BLOCK 1,6,5,2,1,5,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 1,7,5,5,2,1,2,8,0,5,75.0,100.0,84.61538461538461
BLOCK 1,8,5,4,1,1,1,5,1,8,80.0,87.5,84.61538461538461
BLOCK 1,9,4,1,1,5,0,2,1,9,100.0,88.88888888888889,90.9090909090909
BLOCK 1,10,5,2,1,5,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 1,11,1,1,5,4,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 1,12,1,5,5,2,6,20,4,5,70.0,20.0,60.0
BLOCK 1,13,4,1,1,5,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 2,1,1,5,5,1,0,6,2,6,100.0,66.66666666666666,83.33333333333334
BLOCK 2,2,5,1,2,5,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 2,3,1,1,5,5,1,5,2,9,80.0,77.77777777777779,78.57142857142857
BLOCK 2,4,2,5,5,1,3,11,0,2,72.72727272727273,100.0,76.92307692307693
BLOCK 2,5,2,1,5,5,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 2,6,5,4,1,1,1,7,0,2,85.71428571428571,100.0,88.88888888888889
BLOCK 2,7,1,1,5,5,1,4,4,14,75.0,71.42857142857143,72.22222222222221
BLOCK 2,8,5,1,1,4,4,10,3,9,60.0,66.66666666666666,63.1578947368421
BLOCK 2,9,1,5,4,1,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 2,10,5,1,1,4,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 2,11,1,5,5,1,0,6,0,2,100.0,100.0,100.0
BLOCK 2,12,1,2,5,5,0,3,0,4,100.0,100.0,100.0
BLOCK 2,13,5,4,1,1,3,10,3,9,70.0,66.66666666666666,68.42105263157895
BLOCK 3,1,5,1,1,5,2,8,1,6,75.0,83.33333333333334,78.57142857142857
BLOCK 3,2,1,2,5,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 3,3,1,2,5,5,3,13,0,0,76.92307692307693,0,76.92307692307693
BLOCK 3,4,1,1,5,4,3,13,0,0,76.92307692307693,0,76.92307692307693
BLOCK 3,5,1,5,5,1,0,4,2,8,100.0,75.0,83.33333333333334
BLOCK 3,6,4,5,1,1,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 3,7,1,5,5,2,7,27,16,24,74.07407407407408,33.33333333333333,54.90196078431373
BLOCK 3,8,5,1,2,5,3,11,4,10,72.72727272727273,60.0,66.66666666666666
BLOCK 3,9,5,1,1,4,0,3,2,8,100.0,75.0,81.81818181818183
BLOCK 3,10,1,2,5,5,6,18,0,1,66.66666666666666,100.0,68.42105263157895
BLOCK 3,11,5,4,1,1,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 3,12,5,5,1,1,0,0,1,10,0,90.0,90.0
BLOCK 3,13,5,5,1,1,0,2,4,14,100.0,71.42857142857143,75.0
BLOCK 4,1,5,1,2,5,1,7,0,2,85.71428571428571,100.0,88.88888888888889
BLOCK 4,2,1,1,5,4,2,9,0,2,77.77777777777779,100.0,81.81818181818183
BLOCK 4,3,5,5,1,1,7,20,2,6,65.0,66.66666666666666,65.38461538461539
BLOCK 4,4,1,5,4,1,3,9,1,6,66.66666666666666,83.33333333333334,73.33333333333333
BLOCK 4,5,2,1,5,5,3,9,1,6,66.66666666666666,83.33333333333334,73.33333333333333
BLOCK 4,6,5,1,1,4,3,11,1,4,72.72727272727273,75.0,73.33333333333333
BLOCK 4,7,1,5,5,1,0,3,2,9,100.0,77.77777777777779,83.33333333333334
BLOCK 4,8,4,1,1,5,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 4,9,1,1,5,4,2,8,4,11,75.0,63.63636363636363,68.42105263157895
BLOCK 4,10,4,5,1,1,2,11,2,6,81.81818181818183,66.66666666666666,76.47058823529412
BLOCK 4,11,1,2,5,5,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 4,12,5,1,1,5,2,8,9,22,75.0,59.09090909090909,63.33333333333333
BLOCK 4,13,1,4,5,1,3,9,1,6,66.66666666666666,83.33333333333334,73.33333333333333
BLOCK 5,1,1,2,5,5,0,1,2,10,100.0,80.0,81.81818181818183
BLOCK 5,2,5,1,1,5,3,10,4,12,70.0,66.66666666666666,68.18181818181817
BLOCK 5,3,5,4,1,1,2,12,1,3,83.33333333333334,66.66666666666666,80.0
BLOCK 5,4,5,5,2,1,3,12,0,1,75.0,100.0,76.92307692307693
BLOCK 5,5,5,5,1,1,2,11,0,1,81.81818181818183,100.0,83.33333333333334
BLOCK 5,6,5,1,1,4,0,4,0,3,100.0,100.0,100.0
BLOCK 5,7,1,2,5,5,0,1,7,20,100.0,65.0,66.66666666666666
BLOCK 5,8,5,1,1,4,1,8,2,5,87.5,60.0,76.92307692307693
BLOCK 5,9,4,5,1,1,3,12,1,2,75.0,50.0,71.42857142857143
BLOCK 5,10,5,5,1,2,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 5,11,1,2,5,5,0,3,5,14,100.0,64.28571428571429,70.58823529411765
BLOCK 5,12,5,1,1,5,1,8,3,8,87.5,62.5,75.0
BLOCK 5,13,1,5,4,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 6,1,1,1,5,4,2,10,0,1,80.0,100.0,81.81818181818183
BLOCK 6,2,5,4,1,1,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 6,3,5,2,1,5,2,9,6,14,77.77777777777779,57.14285714285714,65.21739130434783
BLOCK 6,4,1,5,5,2,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 6,5,5,5,1,2,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 6,6,5,5,1,2,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 6,7,1,1,5,5,0,0,5,18,0,72.22222222222221,72.22222222222221
BLOCK 6,8,2,5,5,1,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 6,9,1,1,4,5,4,13,1,4,69.23076923076923,75.0,70.58823529411765
BLOCK 6,10,5,5,1,2,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 6,11,5,5,2,1,3,11,0,2,72.72727272727273,100.0,76.92307692307693
BLOCK 6,12,1,1,5,4,3,12,0,1,75.0,100.0,76.92307692307693
BLOCK 6,13,5,5,1,2,0,2,4,13,100.0,69.23076923076923,73.33333333333333
BLOCK 7,1,5,5,2,1,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 7,2,5,5,1,1,1,10,7,14,90.0,50.0,66.66666666666666
BLOCK 7,3,1,5,5,1,0,5,2,7,100.0,71.42857142857143,83.33333333333334
BLOCK 7,4,1,2,5,5,0,5,2,6,100.0,66.66666666666666,81.81818181818183
BLOCK 7,5,1,5,5,1,0,5,1,5,100.0,80.0,90.0
BLOCK 7,6,1,5,5,2,0,4,4,11,100.0,63.63636363636363,73.33333333333333
BLOCK 7,7,5,2,1,5,0,3,1,6,100.0,83.33333333333334,88.88888888888889
BLOCK 7,8,1,4,5,1,1,8,4,9,87.5,55.55555555555556,70.58823529411765
BLOCK 7,9,5,1,1,5,0,5,3,9,100.0,66.66666666666666,78.57142857142857
BLOCK 7,10,1,2,5,5,4,9,0,6,55.55555555555556,100.0,73.33333333333333
BLOCK 7,11,4,1,1,5,2,10,8,15,80.0,46.666666666666664,60.0
BLOCK 7,12,5,5,1,1,2,8,2,8,75.0,75.0,75.0
BLOCK 7,13,1,5,5,1,0,4,0,4,100.0,100.0,100.0
BLOCK 8,1,5,1,1,4,3,11,2,6,72.72727272727273,66.66666666666666,70.58823529411765
BLOCK 8,2,4,1,1,5,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 8,3,2,1,5,5,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 8,4,1,5,5,1,1,4,3,12,75.0,75.0,75.0
BLOCK 8,5,2,5,5,1,0,3,2,8,100.0,75.0,81.81818181818183
BLOCK 8,6,5,1,1,4,0,6,0,1,100.0,100.0,100.0
BLOCK 8,7,2,1,5,5,4,13,2,6,69.23076923076923,66.66666666666666,68.42105263157895
BLOCK 8,8,1,5,5,1,1,7,4,9,85.71428571428571,55.55555555555556,68.75
BLOCK 8,9,5,1,1,5,6,19,0,1,68.42105263157895,100.0,70.0
BLOCK 8,10,1,4,5,1,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 8,11,5,5,1,2,2,7,1,8,71.42857142857143,87.5,80.0
BLOCK 8,12,4,5,1,1,0,4,0,3,100.0,100.0,100.0
BLOCK 8,13,5,5,1,2,1,3,3,12,66.66666666666666,75.0,73.33333333333333
BLOCK 9,1,5,1,1,5,0,1,4,15,100.0,73.33333333333333,75.0
BLOCK 9,2,1,5,5,1,2,12,0,0,83.33333333333334,0,83.33333333333334
BLOCK 9,3,5,5,1,2,1,6,1,7,83.33333333333334,85.71428571428571,84.61538461538461
BLOCK 9,4,5,5,2,1,3,8,2,8,62.5,75.0,68.75
BLOCK 9,5,1,1,4,5,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 9,6,1,1,5,5,0,4,0,4,100.0,100.0,100.0
BLOCK 9,7,2,5,5,1,0,7,0,0,100.0,0,100.0
BLOCK 9,8,5,1,2,5,0,2,2,11,100.0,81.81818181818183,84.61538461538461
BLOCK 9,9,2,5,5,1,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 9,10,1,1,4,5,4,11,0,4,63.63636363636363,100.0,73.33333333333333
BLOCK 9,11,5,5,1,1,1,6,1,6,83.33333333333334,83.33333333333334,83.33333333333334
BLOCK 9,12,1,1,4,5,1,4,1,6,75.0,83.33333333333334,80.0
BLOCK 9,13,1,5,5,1,2,12,0,0,83.33333333333334,0,83.33333333333334
BLOCK 10,1,1,1,4,5,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 10,2,2,1,5,5,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 10,3,1,2,5,5,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 10,4,2,1,5,5,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 10,5,5,1,1,5,2,8,0,4,75.0,100.0,83.33333333333334
BLOCK 10,6,1,4,5,1,0,2,0,5,100.0,100.0,100.0
BLOCK 10,7,4,5,1,1,2,5,3,12,60.0,75.0,70.58823529411765
BLOCK 10,8,5,4,1,1,3,11,1,4,72.72727272727273,75.0,73.33333333333333
BLOCK 10,9,1,5,4,1,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 10,10,5,2,1,5,6,12,5,13,50.0,61.53846153846154,56.00000000000001
BLOCK 10,11,1,1,5,4,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 10,12,1,5,5,1,0,4,6,16,100.0,62.5,70.0
BLOCK 10,13,1,5,4,1,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 11,1,5,4,1,1,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 11,2,1,5,4,1,2,8,1,5,75.0,80.0,76.92307692307693
BLOCK 11,3,5,5,2,1,0,3,4,13,100.0,69.23076923076923,75.0
BLOCK 11,4,1,1,5,4,2,10,0,1,80.0,100.0,81.81818181818183
BLOCK 11,5,1,4,5,1,4,12,1,6,66.66666666666666,83.33333333333334,72.22222222222221
BLOCK 11,6,4,1,1,5,3,10,4,11,70.0,63.63636363636363,66.66666666666666
BLOCK 11,7,5,1,1,5,0,4,2,8,100.0,75.0,83.33333333333334
BLOCK 11,8,1,5,5,1,1,7,2,7,85.71428571428571,71.42857142857143,78.57142857142857
BLOCK 11,9,2,5,5,1,0,3,3,10,100.0,70.0,76.92307692307693
BLOCK 11,10,5,4,1,1,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 11,11,5,1,1,4,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 11,12,1,4,5,1,2,9,1,6,77.77777777777779,83.33333333333334,80.0
BLOCK 11,13,1,5,5,2,2,6,1,7,66.66666666666666,85.71428571428571,76.92307692307693
BLOCK 12,1,5,5,1,1,2,12,0,0,83.33333333333334,0,83.33333333333334
BLOCK 12,2,2,5,5,1,3,9,2,8,66.66666666666666,75.0,70.58823529411765
BLOCK 12,3,5,5,1,1,0,2,3,12,100.0,75.0,78.57142857142857
BLOCK 12,4,1,1,5,5,3,11,0,3,72.72727272727273,100.0,78.57142857142857
BLOCK 12,5,1,1,4,5,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 12,6,5,1,1,4,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 12,7,1,2,5,5,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 12,8,5,1,1,4,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 12,9,1,1,4,5,0,7,0,0,100.0,0,100.0
BLOCK 12,10,1,1,5,4,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 12,11,1,1,5,5,6,20,0,0,70.0,0,70.0
BLOCK 12,12,1,4,5,1,1,7,6,14,85.71428571428571,57.14285714285714,66.66666666666666
BLOCK 12,13,5,1,2,5,2,8,1,5,75.0,80.0,76.92307692307693
