Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
BLOCK 5,1,1,5,4,1,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 5,2,4,5,1,1,2,10,8,15,80.0,46.666666666666664,60.0
BLOCK 5,3,1,1,5,4,0,4,0,3,100.0,100.0,100.0
BLOCK 5,4,5,2,1,5,0,0,0,7,0,100.0,100.0
BLOCK 5,5,5,2,1,5,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 5,6,5,5,2,1,3,9,0,4,66.66666666666666,100.0,76.92307692307693
BLOCK 5,7,1,5,5,2,0,7,0,0,100.0,0,100.0
BLOCK 5,8,5,1,1,4,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 5,9,4,5,1,1,2,9,8,20,77.77777777777779,60.0,65.51724137931035
BLOCK 5,10,5,5,1,2,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 5,11,1,1,5,4,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 5,12,1,4,5,1,2,9,1,4,77.77777777777779,75.0,76.92307692307693
BLOCK 5,13,1,2,5,5,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 6,1,1,5,5,2,2,6,2,11,66.66666666666666,81.81818181818183,76.47058823529412
BLOCK 6,2,1,5,4,1,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 6,3,1,1,5,4,3,13,0,0,76.92307692307693,0,76.92307692307693
BLOCK 6,4,1,5,5,2,0,4,0,5,100.0,100.0,100.0
BLOCK 6,5,5,5,1,1,3,14,0,0,78.57142857142857,0,78.57142857142857
BLOCK 6,6,5,1,1,4,2,11,2,4,81.81818181818183,50.0,73.33333333333333
BLOCK 6,7,5,5,2,1,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 6,8,1,1,4,5,0,3,4,12,100.0,66.66666666666666,73.33333333333333
BLOCK 6,9,4,5,1,1,3,12,3,7,75.0,57.14285714285714,68.42105263157895
BLOCK 6,10,4,1,1,5,0,3,0,4,100.0,100.0,100.0
BLOCK 6,11,1,4,5,1,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 6,12,5,5,1,2,4,10,3,12,60.0,75.0,68.18181818181817
BLOCK 6,13,5,1,2,5,2,8,3,9,75.0,66.66666666666666,70.58823529411765
BLOCK 7,1,1,5,5,1,3,10,2,6,70.0,66.66666666666666,68.75
BLOCK 7,2,1,5,5,1,1,6,3,10,83.33333333333334,70.0,75.0
BLOCK 7,3,5,2,1,5,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 7,4,5,4,1,1,0,4,8,19,100.0,57.89473684210527,65.21739130434783
BLOCK 7,5,1,5,5,1,2,9,3,9,77.77777777777779,66.66666666666666,72.22222222222221
BLOCK 7,6,4,5,1,1,0,1,2,10,100.0,80.0,81.81818181818183
BLOCK 7,7,2,5,5,1,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 7,8,1,1,4,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 7,9,1,5,4,1,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 7,10,2,5,5,1,1,6,4,11,83.33333333333334,63.63636363636363,70.58823529411765
BLOCK 7,11,5,1,1,4,0,3,0,4,100.0,100.0,100.0
BLOCK 7,12,4,5,1,1,0,1,2,10,100.0,80.0,81.81818181818183
BLOCK 7,13,2,1,5,5,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 8,1,5,2,1,5,2,9,0,2,77.77777777777779,100.0,81.81818181818183
BLOCK 8,2,1,1,4,5,0,5,0,2,100.0,100.0,100.0
BLOCK 8,3,5,5,1,1,1,5,3,11,80.0,72.72727272727273,75.0
BLOCK 8,4,1,1,4,5,2,9,3,8,77.77777777777779,62.5,70.58823529411765
BLOCK 8,5,5,4,1,1,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 8,6,4,5,1,1,3,10,0,3,70.0,100.0,76.92307692307693
BLOCK 8,7,5,1,1,5,2,9,0,3,77.77777777777779,100.0,83.33333333333334
BLOCK 8,8,1,5,5,2,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 8,9,1,5,4,1,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 8,10,5,5,1,2,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 8,11,5,5,1,1,3,9,4,13,66.66666666666666,69.23076923076923,68.18181818181817
BLOCK 8,12,5,2,1,5,0,3,0,4,100.0,100.0,100.0
BLOCK 8,13,1,1,5,4,5,10,4,15,50.0,73.33333333333333,64.0
BLOCK 9,1,5,5,2,1,0,1,1,8,100.0,87.5,88.88888888888889
BLOCK 9,2,1,1,5,5,6,20,0,0,70.0,0,70.0
BLOCK 9,3,2,1,5,5,4,14,0,1,71.42857142857143,100.0,73.33333333333333
BLOCK 9,4,5,5,1,2,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 9,5,5,5,1,1,0,0,4,16,0,75.0,75.0
BLOCK 9,6,1,4,5,1,2,6,1,7,66.66666666666666,85.71428571428571,76.92307692307693
BLOCK 9,7,4,5,1,1,0,2,3,13,100.0,76.92307692307693,80.0
BLOCK 9,8,1,5,4,1,1,4,3,11,75.0,72.72727272727273,73.33333333333333
BLOCK 9,9,2,5,5,1,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 9,10,2,1,5,5,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 9,11,2,1,5,5,4,14,0,1,71.42857142857143,100.0,73.33333333333333
BLOCK 9,12,5,5,1,1,0,1,4,15,100.0,73.33333333333333,75.0
BLOCK 9,13,4,5,1,1,0,2,6,17,100.0,64.70588235294117,68.42105263157895
BLOCK 10,1,5,1,2,5,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 10,2,1,5,5,2,1,4,3,11,75.0,72.72727272727273,73.33333333333333
BLOCK 10,3,5,5,1,2,0,0,2,11,0,81.81818181818183,81.81818181818183
