Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,5,1,1,5,0,6,2,6,100.0,66.66666666666666,83.33333333333334
Test 1,2,4,1,1,5,1,5,0,4,80.0,100.0,88.88888888888889
Test 1,3,1,1,5,5,0,0,0,8,0,100.0,100.0
Test 1,4,1,1,5,4,0,1,1,8,100.0,87.5,88.88888888888889
Test 1,5,4,1,1,5,1,6,1,7,83.33333333333334,85.71428571428571,84.61538461538461
Test 2,1,1,5,4,1,0,3,2,8,100.0,75.0,81.81818181818183
Test 2,2,1,1,5,5,0,2,1,8,100.0,87.5,90.0
Test 2,3,5,4,1,1,3,13,0,2,76.92307692307693,100.0,80.0
Test 2,4,5,4,1,1,0,4,1,5,100.0,80.0,88.88888888888889
Test 2,5,5,4,1,1,2,9,3,8,77.77777777777779,62.5,70.58823529411765
BLOCK 1,1,1,5,5,1,0,0,3,14,0,78.57142857142857,78.57142857142857
BLOCK 1,2,4,5,1,1,0,4,2,9,100.0,77.77777777777779,84.61538461538461
BLOCK 1,3,1,5,4,1,0,2,5,15,100.0,66.66666666666666,70.58823529411765
BLOCK 1,4,5,1,1,4,2,11,1,2,81.81818181818183,50.0,76.92307692307693
BLOCK 1,5,4,1,1,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 1,6,5,1,2,5,2,10,0,1,80.0,100.0,81.81818181818183
BLOCK 1,7,1,1,5,4,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 1,8,5,1,1,5,5,18,0,0,72.22222222222221,0,72.22222222222221
BLOCK 1,9,1,2,5,5,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 1,10,5,2,1,5,2,11,2,4,81.81818181818183,50.0,73.33333333333333
BLOCK 1,11,1,1,5,4,0,3,2,8,100.0,75.0,81.81818181818183
BLOCK 1,12,1,5,5,2,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 1,13,4,5,1,1,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 2,1,1,5,5,2,0,8,0,1,100.0,100.0,100.0
BLOCK 2,2,1,4,5,1,2,10,5,11,80.0,54.54545454545454,66.66666666666666
BLOCK 2,3,5,5,1,2,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 2,4,1,1,5,5,0,4,2,8,100.0,75.0,83.33333333333334
BLOCK 2,5,1,1,5,4,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 2,6,1,5,4,1,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 2,7,1,1,5,5,2,6,2,10,66.66666666666666,80.0,75.0
BLOCK 2,8,1,5,4,1,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 2,9,5,1,2,5,1,3,1,8,66.66666666666666,87.5,81.81818181818183
BLOCK 2,10,5,2,1,5,2,11,1,2,81.81818181818183,50.0,76.92307692307693
BLOCK 2,11,5,2,1,5,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 2,12,1,4,5,1,0,0,0,7,0,100.0,100.0
BLOCK 2,13,4,1,1,5,1,8,3,9,87.5,66.66666666666666,76.47058823529412
BLOCK 3,1,5,5,2,1,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 3,2,5,5,2,1,5,17,0,0,70.58823529411765,0,70.58823529411765
BLOCK 3,3,5,1,1,5,1,6,1,6,83.33333333333334,83.33333333333334,83.33333333333334
BLOCK 3,4,1,5,5,2,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 3,5,5,1,1,5,0,4,1,6,100.0,83.33333333333334,90.0
BLOCK 3,6,5,4,1,1,0,7,0,0,100.0,0,100.0
BLOCK 3,7,5,2,1,5,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 3,8,1,5,5,2,1,6,4,12,83.33333333333334,66.66666666666666,72.22222222222221
BLOCK 3,9,4,1,1,5,0,3,3,10,100.0,70.0,76.92307692307693
BLOCK 3,10,5,1,1,5,2,7,1,7,71.42857142857143,85.71428571428571,78.57142857142857
BLOCK 3,11,5,1,1,4,0,4,0,3,100.0,100.0,100.0
BLOCK 3,12,5,1,1,5,0,4,1,6,100.0,83.33333333333334,90.0
BLOCK 3,13,1,5,5,2,3,9,1,6,66.66666666666666,83.33333333333334,73.33333333333333
BLOCK 4,1,1,1,5,5,3,10,14,29,70.0,51.724137931034484,56.41025641025641
BLOCK 4,2,4,5,1,1,1,4,2,9,75.0,77.77777777777779,76.92307692307693
BLOCK 4,3,1,4,5,1,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 4,4,4,5,1,1,5,13,1,6,61.53846153846154,83.33333333333334,68.42105263157895
BLOCK 4,5,5,1,1,4,3,10,3,9,70.0,66.66666666666666,68.42105263157895
BLOCK 4,6,1,5,5,1,3,10,3,10,70.0,70.0,70.0
BLOCK 4,7,5,5,1,1,2,5,4,15,60.0,73.33333333333333,70.0
BLOCK 4,8,5,4,1,1,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 4,9,1,1,4,5,3,9,2,8,66.66666666666666,75.0,70.58823529411765
BLOCK 4,10,5,5,2,1,2,5,0,8,60.0,100.0,84.61538461538461
BLOCK 4,11,1,5,5,1,2,10,0,2,80.0,100.0,83.33333333333334
BLOCK 4,12,1,1,5,5,1,5,4,13,80.0,69.23076923076923,72.22222222222221
BLOCK 4,13,5,5,2,1,0,4,7,18,100.0,61.111111111111114,68.18181818181817
BLOCK 5,1,2,1,5,5,2,10,0,1,80.0,100.0,81.81818181818183
BLOCK 5,2,1,1,5,5,2,12,3,6,83.33333333333334,50.0,72.22222222222221
BLOCK 5,3,1,1,4,5,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 5,4,1,5,5,2,2,9,1,4,77.77777777777779,75.0,76.92307692307693
BLOCK 5,5,2,5,5,1,0,3,0,4,100.0,100.0,100.0
BLOCK 5,6,2,1,5,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 5,7,5,1,1,5,1,6,1,6,83.33333333333334,83.33333333333334,83.33333333333334
BLOCK 5,8,5,2,1,5,2,8,2,7,75.0,71.42857142857143,73.33333333333333
BLOCK 5,9,5,1,2,5,0,4,0,3,100.0,100.0,100.0
BLOCK 5,10,1,5,4,1,2,8,5,13,75.0,61.53846153846154,66.66666666666666
BLOCK 5,11,4,1,1,5,0,5,3,8,100.0,62.5,76.92307692307693
BLOCK 5,12,1,5,5,1,3,9,1,5,66.66666666666666,80.0,71.42857142857143
BLOCK 5,13,5,1,2,5,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 6,1,1,1,5,4,2,9,0,2,77.77777777777779,100.0,81.81818181818183
