Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,5,4,1,1,0,4,0,3,100.0,100.0,100.0
Test 1,2,5,5,1,1,0,7,7,15,100.0,53.333333333333336,68.18181818181817
Test 1,3,4,5,1,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
Test 1,4,5,5,1,2,0,5,1,6,100.0,83.33333333333334,90.9090909090909
Test 1,5,2,5,5,1,0,0,0,7,0,100.0,100.0
Test 2,1,5,4,1,1,1,5,0,4,80.0,100.0,88.88888888888889
Test 2,2,2,5,5,1,0,2,2,9,100.0,77.77777777777779,81.81818181818183
Test 2,3,1,1,4,5,1,6,0,3,83.33333333333334,100.0,88.88888888888889
Test 2,4,5,1,1,5,1,7,0,3,85.71428571428571,100.0,90.0
Test 2,5,5,1,1,4,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 1,1,1,1,5,4,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 1,2,1,5,4,1,0,5,2,6,100.0,66.66666666666666,81.81818181818183
BLOCK 1,3,5,1,1,4,2,7,2,8,71.42857142857143,75.0,73.33333333333333
BLOCK 1,4,5,1,1,4,1,6,3,9,83.33333333333334,66.66666666666666,73.33333333333333
BLOCK 1,5,5,5,1,1,2,7,1,7,71.42857142857143,85.71428571428571,78.57142857142857
BLOCK 1,6,2,1,5,5,2,9,3,8,77.77777777777779,62.5,70.58823529411765
BLOCK 1,7,1,5,5,2,3,9,2,8,66.66666666666666,75.0,70.58823529411765
BLOCK 1,8,1,1,5,4,2,7,2,8,71.42857142857143,75.0,73.33333333333333
BLOCK 1,9,5,5,2,1,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 1,10,5,5,2,1,0,4,0,3,100.0,100.0,100.0
BLOCK 1,11,5,1,2,5,1,7,3,8,85.71428571428571,62.5,73.33333333333333
BLOCK 1,12,5,1,2,5,1,7,2,6,85.71428571428571,66.66666666666666,76.92307692307693
BLOCK 1,13,5,1,1,4,2,7,2,8,71.42857142857143,75.0,73.33333333333333
BLOCK 2,1,2,5,5,1,3,9,3,10,66.66666666666666,70.0,68.42105263157895
BLOCK 2,2,1,5,4,1,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 2,3,1,4,5,1,0,3,0,4,100.0,100.0,100.0
BLOCK 2,4,5,4,1,1,5,16,1,3,68.75,66.66666666666666,68.42105263157895
BLOCK 2,5,1,5,5,1,4,13,0,3,69.23076923076923,100.0,75.0
BLOCK 2,6,1,5,5,1,0,3,1,7,100.0,85.71428571428571,90.0
BLOCK 2,7,5,5,1,1,2,9,0,3,77.77777777777779,100.0,83.33333333333334
BLOCK 2,8,1,1,5,4,3,12,0,1,75.0,100.0,76.92307692307693
BLOCK 2,9,1,5,4,1,0,2,3,11,100.0,72.72727272727273,76.92307692307693
BLOCK 2,10,1,4,5,1,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 2,11,2,1,5,5,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 2,12,2,5,5,1,3,9,2,8,66.66666666666666,75.0,70.58823529411765
BLOCK 2,13,1,5,4,1,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 3,1,1,1,5,4,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 3,2,5,4,1,1,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 3,3,5,1,1,4,2,9,1,4,77.77777777777779,75.0,76.92307692307693
BLOCK 3,4,2,1,5,5,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 3,5,4,5,1,1,1,7,4,12,85.71428571428571,66.66666666666666,73.68421052631578
BLOCK 3,6,2,5,5,1,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 3,7,1,5,5,2,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 3,8,5,1,2,5,1,7,1,6,85.71428571428571,83.33333333333334,84.61538461538461
BLOCK 3,9,2,1,5,5,1,8,4,9,87.5,55.55555555555556,70.58823529411765
BLOCK 3,10,5,1,2,5,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 3,11,1,2,5,5,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 3,12,5,5,2,1,2,6,1,7,66.66666666666666,85.71428571428571,76.92307692307693
BLOCK 3,13,1,1,5,4,2,8,3,9,75.0,66.66666666666666,70.58823529411765
BLOCK 4,1,1,1,4,5,0,3,1,6,100.0,83.33333333333334,88.88888888888889
BLOCK 4,2,4,5,1,1,1,7,3,8,85.71428571428571,62.5,73.33333333333333
BLOCK 4,3,1,5,5,2,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 4,4,1,1,5,5,1,6,2,8,83.33333333333334,75.0,78.57142857142857
BLOCK 4,5,1,5,5,1,2,10,2,6,80.0,66.66666666666666,75.0
BLOCK 4,6,5,5,2,1,3,11,2,6,72.72727272727273,66.66666666666666,70.58823529411765
BLOCK 4,7,4,5,1,1,2,9,2,6,77.77777777777779,66.66666666666666,73.33333333333333
BLOCK 4,8,1,5,4,1,0,0,4,15,0,73.33333333333333,73.33333333333333
BLOCK 4,9,1,1,5,5,0,3,0,5,100.0,100.0,100.0
BLOCK 4,10,5,2,1,5,0,0,4,15,0,73.33333333333333,73.33333333333333
BLOCK 4,11,5,1,2,5,2,10,2,5,80.0,60.0,73.33333333333333
BLOCK 4,12,5,5,1,2,0,5,2,6,100.0,66.66666666666666,81.81818181818183
BLOCK 4,13,5,4,1,1,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 5,1,1,1,5,5,2,12,7,14,83.33333333333334,50.0,65.38461538461539
BLOCK 5,2,5,5,1,1,1,6,0,4,83.33333333333334,100.0,90.0
BLOCK 5,3,5,5,2,1,1,6,1,6,83.33333333333334,83.33333333333334,83.33333333333334
BLOCK 5,4,5,5,1,2,2,10,3,7,80.0,57.14285714285714,70.58823529411765
BLOCK 5,5,1,1,5,4,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 5,6,5,1,1,5,1,5,0,5,80.0,100.0,90.0
BLOCK 5,7,1,5,4,1,0,3,0,4,100.0,100.0,100.0
BLOCK 5,8,5,4,1,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 5,9,1,1,5,5,1,8,5,12,87.5,58.333333333333336,70.0
BLOCK 5,10,5,5,2,1,0,8,5,9,100.0,44.44444444444444,70.58823529411765
BLOCK 5,11,2,1,5,5,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 5,12,4,1,1,5,3,12,7,15,75.0,53.333333333333336,62.96296296296296
BLOCK 5,13,1,1,5,4,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 6,1,2,1,5,5,0,1,1,8,100.0,87.5,88.88888888888889
BLOCK 6,2,2,1,5,5,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 6,3,1,2,5,5,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 6,4,5,2,1,5,2,7,2,8,71.42857142857143,75.0,73.33333333333333
BLOCK 6,5,2,1,5,5,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 6,6,4,1,1,5,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 6,7,5,1,2,5,2,4,1,9,50.0,88.88888888888889,76.92307692307693
BLOCK 6,8,1,2,5,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 6,9,1,5,5,2,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 6,10,1,4,5,1,1,6,3,9,83.33333333333334,66.66666666666666,73.33333333333333
BLOCK 6,11,1,1,5,5,0,4,3,10,100.0,70.0,78.57142857142857
BLOCK 6,12,1,4,5,1,3,12,2,7,75.0,71.42857142857143,73.68421052631578
BLOCK 6,13,1,5,4,1,2,8,3,9,75.0,66.66666666666666,70.58823529411765
BLOCK 7,1,1,2,5,5,0,1,6,18,100.0,66.66666666666666,68.42105263157895
BLOCK 7,2,1,1,5,5,0,0,2,12,0,83.33333333333334,83.33333333333334
BLOCK 7,3,5,2,1,5,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 7,4,1,5,5,1,2,10,7,16,80.0,56.25,65.38461538461539
BLOCK 7,5,2,5,5,1,1,6,3,9,83.33333333333334,66.66666666666666,73.33333333333333
BLOCK 7,6,5,1,1,5,2,7,2,9,71.42857142857143,77.77777777777779,75.0
BLOCK 7,7,1,2,5,5,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 7,8,2,1,5,5,0,0,0,7,0,100.0,100.0
BLOCK 7,9,1,1,5,4,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 7,10,5,4,1,1,5,15,0,2,66.66666666666666,100.0,70.58823529411765
BLOCK 7,11,5,1,1,4,3,10,0,3,70.0,100.0,76.92307692307693
BLOCK 7,12,5,1,2,5,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 7,13,1,5,4,1,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 8,1,1,4,5,1,2,11,3,8,81.81818181818183,62.5,73.68421052631578
BLOCK 8,2,2,5,5,1,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 8,3,1,5,5,2,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 8,4,5,5,1,2,1,4,6,17,75.0,64.70588235294117,66.66666666666666
BLOCK 8,5,1,1,5,4,3,8,4,13,62.5,69.23076923076923,66.66666666666666
BLOCK 8,6,1,5,5,1,0,3,1,7,100.0,85.71428571428571,90.0
BLOCK 8,7,5,2,1,5,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 8,8,1,1,4,5,1,5,5,14,80.0,64.28571428571429,68.42105263157895
BLOCK 8,9,1,4,5,1,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 8,10,5,5,2,1,2,5,1,8,60.0,87.5,76.92307692307693
BLOCK 8,11,5,5,1,1,2,12,0,0,83.33333333333334,0,83.33333333333334
BLOCK 8,12,2,5,5,1,0,4,3,9,100.0,66.66666666666666,76.92307692307693
BLOCK 8,13,1,5,4,1,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 9,1,1,5,5,2,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 9,2,4,5,1,1,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 9,3,1,1,5,5,2,11,1,3,81.81818181818183,66.66666666666666,78.57142857142857
BLOCK 9,4,5,5,1,1,0,1,5,16,100.0,68.75,70.58823529411765
BLOCK 9,5,1,4,5,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 9,6,5,1,1,5,1,6,0,4,83.33333333333334,100.0,90.0
BLOCK 9,7,1,1,5,5,2,12,0,0,83.33333333333334,0,83.33333333333334
BLOCK 9,8,5,5,1,2,0,0,0,7,0,100.0,100.0
BLOCK 9,9,5,1,1,5,0,4,0,4,100.0,100.0,100.0
BLOCK 9,10,1,5,4,1,0,3,4,12,100.0,66.66666666666666,73.33333333333333
BLOCK 9,11,1,1,4,5,4,15,0,0,73.33333333333333,0,73.33333333333333
BLOCK 9,12,1,2,5,5,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 9,13,4,1,1,5,2,9,2,6,77.77777777777779,66.66666666666666,73.33333333333333
BLOCK 10,1,5,5,2,1,0,1,3,12,100.0,75.0,76.92307692307693
BLOCK 10,2,4,1,1,5,3,12,0,1,75.0,100.0,76.92307692307693
BLOCK 10,3,2,1,5,5,0,2,2,9,100.0,77.77777777777779,81.81818181818183
