Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,2,5,5,1,0,0,0,7,0,100.0,100.0
Test 1,2,4,1,1,5,2,10,0,1,80.0,100.0,81.81818181818183
Test 1,3,1,5,4,1,0,0,2,11,0,81.81818181818183,81.81818181818183
Test 1,4,5,1,2,5,1,9,0,0,88.88888888888889,0,88.88888888888889
Test 1,5,1,5,5,2,0,1,3,13,100.0,76.92307692307693,78.57142857142857
Test 2,1,5,5,1,2,1,8,0,2,87.5,100.0,90.0
Test 2,2,1,1,5,4,3,7,0,6,57.14285714285714,100.0,76.92307692307693
Test 2,3,5,1,1,4,1,7,4,10,85.71428571428571,60.0,70.58823529411765
Test 2,4,5,5,1,1,3,8,6,18,62.5,66.66666666666666,65.38461538461539
Test 2,5,1,1,4,5,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 1,1,1,1,4,5,0,1,2,10,100.0,80.0,81.81818181818183
BLOCK 1,2,4,1,1,5,0,6,3,7,100.0,57.14285714285714,76.92307692307693
BLOCK 1,3,5,1,1,5,0,6,3,8,100.0,62.5,78.57142857142857
BLOCK 1,4,1,5,5,1,0,4,2,8,100.0,75.0,83.33333333333334
BLOCK 1,5,4,1,1,5,5,14,3,9,64.28571428571429,66.66666666666666,65.21739130434783
BLOCK 1,6,5,4,1,1,3,12,0,1,75.0,100.0,76.92307692307693
BLOCK 1,7,1,5,4,1,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 1,8,1,1,5,4,0,0,0,7,0,100.0,100.0
BLOCK 1,9,4,1,1,5,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 1,10,1,5,5,2,2,7,3,10,71.42857142857143,70.0,70.58823529411765
BLOCK 1,11,1,4,5,1,1,7,5,10,85.71428571428571,50.0,64.70588235294117
BLOCK 1,12,4,1,1,5,2,10,2,7,80.0,71.42857142857143,76.47058823529412
BLOCK 1,13,5,5,1,2,5,21,6,9,76.19047619047619,33.33333333333333,63.33333333333333
BLOCK 2,1,1,1,4,5,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 2,2,1,1,5,5,5,16,0,1,68.75,100.0,70.58823529411765
BLOCK 2,3,1,5,5,1,0,4,1,6,100.0,83.33333333333334,90.0
BLOCK 2,4,1,2,5,5,0,3,2,8,100.0,75.0,81.81818181818183
BLOCK 2,5,4,5,1,1,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 2,6,1,2,5,5,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 2,7,5,1,1,5,0,2,4,14,100.0,71.42857142857143,75.0
BLOCK 2,8,5,5,1,2,0,4,4,11,100.0,63.63636363636363,73.33333333333333
BLOCK 2,9,5,1,1,5,0,5,0,3,100.0,100.0,100.0
BLOCK 2,10,1,1,5,4,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 2,11,5,4,1,1,3,14,3,7,78.57142857142857,57.14285714285714,71.42857142857143
BLOCK 2,12,5,1,1,5,0,3,0,5,100.0,100.0,100.0
BLOCK 2,13,5,1,1,4,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 3,1,5,5,1,1,1,5,0,5,80.0,100.0,90.0
BLOCK 3,2,1,1,5,4,0,5,3,8,100.0,62.5,76.92307692307693
BLOCK 3,3,4,1,1,5,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 3,4,5,5,2,1,1,7,3,8,85.71428571428571,62.5,73.33333333333333
BLOCK 3,5,1,1,5,4,3,14,8,15,78.57142857142857,46.666666666666664,62.06896551724138
BLOCK 3,6,1,5,4,1,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 3,7,5,5,1,1,0,5,1,5,100.0,80.0,90.0
