Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,1,1,5,5,1,5,0,5,80.0,100.0,90.0
Test 1,2,1,1,5,5,1,7,1,5,85.71428571428571,80.0,83.33333333333334
Test 1,3,5,5,1,1,0,5,4,11,100.0,63.63636363636363,75.0
Test 1,4,1,1,5,5,3,9,0,5,66.66666666666666,100.0,78.57142857142857
Test 1,5,1,5,4,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
Test 2,1,2,5,5,1,2,7,2,8,71.42857142857143,75.0,73.33333333333333
Test 2,2,1,5,4,1,1,6,0,3,83.33333333333334,100.0,88.88888888888889
Test 2,3,1,5,5,2,2,10,0,2,80.0,100.0,83.33333333333334
Test 2,4,2,5,5,1,0,4,2,7,100.0,71.42857142857143,81.81818181818183
Test 2,5,1,1,5,4,5,16,2,5,68.75,60.0,66.66666666666666
BLOCK 1,1,1,5,4,1,1,4,3,10,75.0,70.0,71.42857142857143
BLOCK 1,2,1,2,5,5,3,12,1,3,75.0,66.66666666666666,73.33333333333333
BLOCK 1,3,4,5,1,1,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 1,4,1,4,5,1,4,14,1,5,71.42857142857143,80.0,73.68421052631578
BLOCK 1,5,1,5,5,2,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 1,6,1,5,4,1,2,7,5,10,71.42857142857143,50.0,58.82352941176471
BLOCK 1,7,5,1,1,4,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 1,8,1,5,4,1,0,4,4,11,100.0,63.63636363636363,73.33333333333333
BLOCK 1,9,4,1,1,5,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 1,10,1,5,5,1,2,7,2,9,71.42857142857143,77.77777777777779,75.0
BLOCK 1,11,1,1,5,5,3,13,0,1,76.92307692307693,100.0,78.57142857142857
BLOCK 1,12,5,2,1,5,3,7,0,5,57.14285714285714,100.0,75.0
BLOCK 1,13,1,5,5,2,3,10,1,5,70.0,80.0,73.33333333333333
BLOCK 2,1,1,5,5,1,0,0,3,14,0,78.57142857142857,78.57142857142857
BLOCK 2,2,5,5,1,2,0,2,6,17,100.0,64.70588235294117,68.42105263157895
BLOCK 2,3,1,1,4,5,2,6,2,9,66.66666666666666,77.77777777777779,73.33333333333333
BLOCK 2,4,5,5,1,1,1,5,2,9,80.0,77.77777777777779,78.57142857142857
BLOCK 2,5,2,5,5,1,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 2,6,1,1,5,5,3,9,3,11,66.66666666666666,72.72727272727273,70.0
BLOCK 2,7,5,2,1,5,2,9,0,2,77.77777777777779,100.0,81.81818181818183
BLOCK 2,8,1,1,5,4,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 2,9,5,1,1,4,4,7,1,10,42.857142857142854,90.0,70.58823529411765
BLOCK 2,10,1,1,5,5,0,6,3,8,100.0,62.5,78.57142857142857
BLOCK 2,11,5,5,2,1,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 2,12,5,4,1,1,0,6,2,7,100.0,71.42857142857143,84.61538461538461
BLOCK 2,13,4,1,1,5,2,5,1,10,60.0,90.0,80.0
BLOCK 3,1,4,5,1,1,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 3,2,5,1,2,5,0,1,3,12,100.0,75.0,76.92307692307693
BLOCK 3,3,4,1,1,5,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 3,4,2,5,5,1,4,14,0,1,71.42857142857143,100.0,73.33333333333333
BLOCK 3,5,5,5,1,2,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 3,6,1,4,5,1,1,9,3,8,88.88888888888889,62.5,76.47058823529412
BLOCK 3,7,4,1,1,5,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 3,8,1,5,5,2,1,10,0,1,90.0,100.0,90.9090909090909
BLOCK 3,9,5,5,2,1,3,9,1,6,66.66666666666666,83.33333333333334,73.33333333333333
BLOCK 3,10,1,2,5,5,0,6,3,7,100.0,57.14285714285714,76.92307692307693
BLOCK 3,11,1,1,5,4,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 3,12,5,4,1,1,1,4,0,5,75.0,100.0,88.88888888888889
