Scenario,Block,Episode,Trial,Target direction,Subject_key_pressed or agent,Movement direction,Error/NonError,Current x,Current y
Shared_Responsibility,Test 1,1,0,East,Agent,east,NonError,2,2
Shared_Responsibility,Test 1,1,1,East,Agent,south,Error,3,2
Shared_Responsibility,Test 1,1,2,Northeast,Agent,east,NonError,3,3
Shared_Responsibility,Test 1,1,3,North,Subject Up,south,Error,4,3
Shared_Responsibility,Test 1,1,4,North,Subject Left,west,NonError,4,2
Shared_Responsibility,Test 1,1,5,Northeast,Agent,east,NonError,4,3
Shared_Responsibility,Test 1,1,6,North,Subject Up,north,NonError,3,3
Shared_Responsibility,Test 1,1,7,North,Subject Up,north,NonError,2,3
Shared_Responsibility,Test 1,1,8,South,Agent,south,NonError,3,3
Shared_Responsibility,Test 1,1,9,South,Agent,west,Error,3,2
Shared_Responsibility,Test 1,1,10,Southeast,Agent,east,NonError,3,3
Shared_Responsibility,Test 1,1,11,South,Agent,north,Error,2,3
Shared_Responsibility,Test 1,1,12,South,Agent,south,NonError,3,3
Shared_Responsibility,Test 1,1,13,South,Agent,south,NonError,4,3
Shared_Responsibility,Test 1,1,14,East,Agent,east,NonError,4,4
Shared_Responsibility,Test 1,1,15,East,Agent,east,NonError,4,5
Shared_Responsibility,Test 1,1,16,South,Agent,south,NonError,5,5
Shared_Responsibility,Test 1,2,0,North,Subject Up,north,NonError,4,4
Shared_Responsibility,Test 1,2,1,North,Subject Up,south,Error,5,4
Shared_Responsibility,Test 1,2,2,North,Subject Up,north,NonError,4,4
Shared_Responsibility,Test 1,2,3,North,Subject Up,west,Error,4,5
Shared_Responsibility,Test 1,2,4,Northwest,Subject Up,north,NonError,3,5
Shared_Responsibility,Test 1,2,5,West,Subject Left,west,NonError,3,4
Shared_Responsibility,Test 1,2,6,North,Subject Up,north,NonError,2,4
Shared_Responsibility,Test 1,2,7,West,Subject Left,east,Error,2,5
Shared_Responsibility,Test 1,2,8,West,Subject Left,west,NonError,2,4
Shared_Responsibility,Test 1,2,9,West,Subject Left,west,NonError,2,3
Shared_Responsibility,Test 1,2,10,West,Subject Left,west,NonError,2,2
Shared_Responsibility,Test 1,2,11,North,Subject Up,north,NonError,1,2
Shared_Responsibility,Test 1,2,12,West,Subject Left,west,NonError,1,1
Shared_Responsibility,Test 1,3,0,East,Agent,east,NonError,1,2
Shared_Responsibility,Test 1,3,1,South,Agent,west,Error,1,1
Shared_Responsibility,Test 1,3,2,Southeast,Agent,east,NonError,1,2
Shared_Responsibility,Test 1,3,3,South,Agent,south,NonError,2,2
Shared_Responsibility,Test 1,3,4,South,Agent,south,NonError,3,2
Shared_Responsibility,Test 1,3,5,East,Agent,east,NonError,3,3
Shared_Responsibility,Test 1,3,6,East,Agent,east,NonError,3,4
Shared_Responsibility,Test 1,3,7,South,Agent,south,NonError,4,4
Shared_Responsibility,Test 1,3,8,South,Agent,south,NonError,5,4
Shared_Responsibility,Test 1,4,0,South,Agent,south,NonError,2,1
Shared_Responsibility,Test 1,4,1,South,Agent,east,Error,2,2
Shared_Responsibility,Test 1,4,2,Southwest,Agent,south,NonError,3,2
Shared_Responsibility,Test 1,4,3,West,Subject Left,north,Error,2,2
Shared_Responsibility,Test 1,4,4,Southwest,Agent,south,NonError,3,2
Shared_Responsibility,Test 1,4,5,West,Subject Left,west,NonError,3,1
Shared_Responsibility,Test 1,4,6,South,Agent,south,NonError,4,1
Shared_Responsibility,Test 1,4,7,South,Agent,south,NonError,5,1
Shared_Responsibility,Test 1,4,8,East,Agent,east,NonError,5,2
Shared_Responsibility,Test 1,4,9,East,Agent,east,NonError,5,3
Shared_Responsibility,Test 1,4,10,East,Agent,east,NonError,5,4
Shared_Responsibility,Test 1,5,0,East,Agent,east,NonError,1,2
Shared_Responsibility,Test 1,5,1,East,Agent,east,NonError,1,3
Shared_Responsibility,Test 1,5,2,East,Agent,east,NonError,1,4
Shared_Responsibility,Test 1,5,3,South,Agent,south,NonError,2,4
Shared_Responsibility,Test 1,5,4,East,Agent,east,NonError,2,5
Shared_Responsibility,Test 1,5,5,South,Agent,south,NonError,3,5
Shared_Responsibility,Test 1,5,6,South,Agent,south,NonError,4,5
Shared_Workspace,Test 2,1,0,East,Subject Right,east,NonError,1,3
Shared_Workspace,Test 2,1,1,East,Subject Right,east,NonError,1,4
Shared_Workspace,Test 2,1,2,East,Agent,west,Error,1,3
Shared_Workspace,Test 2,1,3,East,Subject Right,east,NonError,1,4
Shared_Workspace,Test 2,1,4,East,Agent,east,NonError,1,5
Shared_Workspace,Test 2,1,5,South,Agent,south,NonError,2,5
Shared_Workspace,Test 2,1,6,South,Agent,west,Error,2,4
Shared_Workspace,Test 2,1,7,Southeast,Agent,east,NonError,2,5
Shared_Workspace,Test 2,1,8,South,Agent,south,NonError,3,5
Shared_Workspace,Test 2,1,9,South,Agent,south,NonError,4,5
Shared_Workspace,Test 2,1,10,South,Agent,south,NonError,5,5
Shared_Workspace,Test 2,2,0,South,Agent,east,Error,1,6
Shared_Workspace,Test 2,2,1,Southwest,Agent,south,NonError,2,6
Shared_Workspace,Test 2,2,2,West,Agent,west,NonError,2,5
Shared_Workspace,Test 2,2,3,South,Agent,south,NonError,3,5
Shared_Workspace,Test 2,2,4,West,Agent,west,NonError,3,4
Shared_Workspace,Test 2,2,5,West,Agent,west,NonError,3,3
Shared_Workspace,Test 2,2,6,West,Subject Left,north,Error,2,3
Shared_Workspace,Test 2,2,7,Southwest,Subject Left,west,NonError,2,2
Shared_Workspace,Test 2,2,8,South,Subject Down,south,NonError,3,2
Shared_Workspace,Test 2,2,9,South,Subject Down,east,Error,3,3
Shared_Workspace,Test 2,2,10,Southwest,Subject Left,west,NonError,3,2
Shared_Workspace,Test 2,2,11,South,Subject Down,south,NonError,4,2
Shared_Workspace,Test 2,2,12,South,Subject Down,west,Error,4,1
Shared_Workspace,Test 2,2,13,Southeast,Subject Right,east,NonError,4,2
