Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,2,1,5,5,3,13,2,4,76.92307692307693,50.0,70.58823529411765
Test 1,2,5,4,1,1,0,0,3,13,0,76.92307692307693,76.92307692307693
Test 1,3,1,1,5,4,1,9,0,0,88.88888888888889,0,88.88888888888889
Test 1,4,1,1,5,4,1,9,1,2,88.88888888888889,50.0,81.81818181818183
Test 1,5,1,1,4,5,0,7,0,0,100.0,0,100.0
Test 2,1,1,2,5,5,2,8,0,3,75.0,100.0,81.81818181818183
Test 2,2,1,5,5,1,2,8,3,10,75.0,70.0,72.22222222222221
Test 2,3,1,1,5,4,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
Test 2,4,1,1,5,5,2,9,0,3,77.77777777777779,100.0,83.33333333333334
Test 2,5,4,1,1,5,1,3,4,14,66.66666666666666,71.42857142857143,70.58823529411765
BLOCK 1,1,4,1,1,5,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 1,2,5,4,1,1,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 1,3,1,1,5,4,0,1,3,12,100.0,75.0,76.92307692307693
BLOCK 1,4,1,5,5,1,0,4,1,6,100.0,83.33333333333334,90.0
BLOCK 1,5,5,4,1,1,2,10,0,1,80.0,100.0,81.81818181818183
BLOCK 1,6,2,1,5,5,0,1,4,14,100.0,71.42857142857143,73.33333333333333
BLOCK 1,7,5,1,1,5,0,4,2,8,100.0,75.0,83.33333333333334
BLOCK 1,8,1,1,4,5,0,1,1,8,100.0,87.5,88.88888888888889
BLOCK 1,9,1,5,5,2,0,3,1,6,100.0,83.33333333333334,88.88888888888889
BLOCK 1,10,4,1,1,5,1,4,2,9,75.0,77.77777777777779,76.92307692307693
BLOCK 1,11,2,1,5,5,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 1,12,5,1,1,4,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 1,13,5,1,1,4,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 2,1,1,2,5,5,1,4,3,11,75.0,72.72727272727273,73.33333333333333
BLOCK 2,2,1,5,5,1,1,8,2,6,87.5,66.66666666666666,78.57142857142857
BLOCK 2,3,1,5,5,2,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 2,4,5,1,1,5,3,11,3,9,72.72727272727273,66.66666666666666,70.0
BLOCK 2,5,1,1,5,4,0,1,2,10,100.0,80.0,81.81818181818183
BLOCK 2,6,1,5,4,1,2,9,2,6,77.77777777777779,66.66666666666666,73.33333333333333
BLOCK 2,7,1,5,4,1,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 2,8,5,4,1,1,8,26,7,11,69.23076923076923,36.36363636363637,59.45945945945946
BLOCK 2,9,1,1,5,5,5,18,0,0,72.22222222222221,0,72.22222222222221
BLOCK 2,10,1,5,5,2,2,12,0,1,83.33333333333334,100.0,84.61538461538461
BLOCK 2,11,1,1,4,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 2,12,1,5,5,2,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 2,13,5,1,2,5,3,11,3,8,72.72727272727273,62.5,68.42105263157895
BLOCK 3,1,2,1,5,5,3,18,17,25,83.33333333333334,32.0,53.48837209302325
BLOCK 3,2,5,5,2,1,3,9,0,4,66.66666666666666,100.0,76.92307692307693
BLOCK 3,3,1,5,4,1,0,0,4,15,0,73.33333333333333,73.33333333333333
BLOCK 3,4,4,5,1,1,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 3,5,5,5,1,2,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 3,6,5,1,1,5,1,9,1,3,88.88888888888889,66.66666666666666,83.33333333333334
BLOCK 3,7,5,1,1,4,3,13,0,0,76.92307692307693,0,76.92307692307693
BLOCK 3,8,1,5,4,1,0,1,5,16,100.0,68.75,70.58823529411765
BLOCK 3,9,5,1,1,4,4,14,1,3,71.42857142857143,66.66666666666666,70.58823529411765
BLOCK 3,10,5,1,2,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 3,11,5,5,1,1,2,9,7,17,77.77777777777779,58.82352941176471,65.38461538461539
BLOCK 3,12,1,5,5,2,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 3,13,4,1,1,5,3,12,0,1,75.0,100.0,76.92307692307693
BLOCK 4,1,1,5,4,1,2,7,3,10,71.42857142857143,70.0,70.58823529411765
BLOCK 4,2,1,2,5,5,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 4,3,4,1,1,5,2,7,3,11,71.42857142857143,72.72727272727273,72.22222222222221
BLOCK 4,4,1,5,5,2,0,5,5,12,100.0,58.333333333333336,70.58823529411765
BLOCK 4,5,5,1,1,4,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 4,6,5,4,1,1,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 4,7,1,2,5,5,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 4,8,2,5,5,1,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 4,9,1,5,5,2,5,15,0,2,66.66666666666666,100.0,70.58823529411765
BLOCK 4,10,2,1,5,5,4,11,9,18,63.63636363636363,50.0,55.172413793103445
BLOCK 4,11,5,5,2,1,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 4,12,2,5,5,1,3,12,3,7,75.0,57.14285714285714,68.42105263157895
BLOCK 4,13,1,1,4,5,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 5,1,1,5,5,2,0,6,4,11,100.0,63.63636363636363,76.47058823529412
BLOCK 5,2,5,1,1,4,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 5,3,5,5,1,1,3,9,0,5,66.66666666666666,100.0,78.57142857142857
BLOCK 5,4,5,2,1,5,1,6,2,7,83.33333333333334,71.42857142857143,76.92307692307693
BLOCK 5,5,1,5,4,1,1,4,0,5,75.0,100.0,88.88888888888889
BLOCK 5,6,4,1,1,5,2,7,5,14,71.42857142857143,64.28571428571429,66.66666666666666
BLOCK 5,7,1,4,5,1,2,9,3,9,77.77777777777779,66.66666666666666,72.22222222222221
BLOCK 5,8,1,1,5,5,3,8,1,8,62.5,87.5,75.0
BLOCK 5,9,5,4,1,1,1,7,2,6,85.71428571428571,66.66666666666666,76.92307692307693
BLOCK 5,10,1,5,4,1,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 5,11,5,1,2,5,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 5,12,5,1,2,5,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 5,13,5,5,1,2,4,10,0,5,60.0,100.0,73.33333333333333
BLOCK 6,1,5,4,1,1,0,4,4,11,100.0,63.63636363636363,73.33333333333333
BLOCK 6,2,1,5,5,2,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 6,3,1,5,5,2,0,6,0,3,100.0,100.0,100.0
BLOCK 6,4,4,1,1,5,0,5,0,2,100.0,100.0,100.0
BLOCK 6,5,5,1,2,5,7,21,2,2,66.66666666666666,0.0,60.86956521739131
BLOCK 6,6,1,5,4,1,4,15,1,2,73.33333333333333,50.0,70.58823529411765
BLOCK 6,7,5,2,1,5,0,4,3,9,100.0,66.66666666666666,76.92307692307693
BLOCK 6,8,5,4,1,1,1,6,3,9,83.33333333333334,66.66666666666666,73.33333333333333
BLOCK 6,9,5,5,1,1,0,4,1,4,100.0,75.0,87.5
BLOCK 6,10,1,5,4,1,0,3,7,16,100.0,56.25,63.1578947368421
BLOCK 6,11,4,5,1,1,0,4,0,3,100.0,100.0,100.0
BLOCK 6,12,2,5,5,1,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 6,13,1,1,5,4,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 7,1,5,5,1,1,3,10,0,4,70.0,100.0,78.57142857142857
BLOCK 7,2,4,1,1,5,0,3,4,14,100.0,71.42857142857143,76.47058823529412
BLOCK 7,3,1,5,5,2,5,16,1,3,68.75,66.66666666666666,68.42105263157895
BLOCK 7,4,5,2,1,5,0,2,4,13,100.0,69.23076923076923,73.33333333333333
BLOCK 7,5,1,1,5,4,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 7,6,1,2,5,5,2,9,4,10,77.77777777777779,60.0,68.42105263157895
BLOCK 7,7,1,5,5,2,2,10,2,5,80.0,60.0,73.33333333333333
BLOCK 7,8,1,2,5,5,1,10,6,11,90.0,45.45454545454545,66.66666666666666
BLOCK 7,9,1,1,4,5,2,8,2,7,75.0,71.42857142857143,73.33333333333333
BLOCK 7,10,1,2,5,5,0,4,0,3,100.0,100.0,100.0
BLOCK 7,11,5,2,1,5,0,2,3,11,100.0,72.72727272727273,76.92307692307693
BLOCK 7,12,1,1,5,5,1,5,1,7,80.0,85.71428571428571,83.33333333333334
BLOCK 7,13,5,5,2,1,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 8,1,5,2,1,5,0,0,0,7,0,100.0,100.0
BLOCK 8,2,1,1,4,5,2,10,1,3,80.0,66.66666666666666,76.92307692307693
BLOCK 8,3,5,2,1,5,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 8,4,5,4,1,1,1,4,7,21,75.0,66.66666666666666,68.0
