Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,5,1,2,5,5,12,4,13,58.333333333333336,69.23076923076923,64.0
Test 1,2,5,1,1,5,0,5,1,5,100.0,80.0,90.0
Test 1,3,4,5,1,1,0,0,2,11,0,81.81818181818183,81.81818181818183
Test 1,4,5,1,1,4,0,4,3,9,100.0,66.66666666666666,76.92307692307693
Test 1,5,5,5,1,1,0,1,2,11,100.0,81.81818181818183,83.33333333333334
Test 2,1,2,1,5,5,3,11,0,2,72.72727272727273,100.0,76.92307692307693
Test 2,2,5,4,1,1,0,3,3,10,100.0,70.0,76.92307692307693
Test 2,3,5,1,2,5,0,8,2,5,100.0,60.0,84.61538461538461
Test 2,4,4,5,1,1,0,1,3,12,100.0,75.0,76.92307692307693
Test 2,5,4,1,1,5,0,3,1,6,100.0,83.33333333333334,88.88888888888889
BLOCK 1,1,1,2,5,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 1,2,5,1,1,4,3,9,5,12,66.66666666666666,58.333333333333336,61.904761904761905
BLOCK 1,3,5,5,1,1,0,0,1,10,0,90.0,90.0
BLOCK 1,4,5,4,1,1,0,1,2,10,100.0,80.0,81.81818181818183
BLOCK 1,5,1,5,5,2,2,8,1,5,75.0,80.0,76.92307692307693
BLOCK 1,6,5,1,1,4,2,6,4,13,66.66666666666666,69.23076923076923,68.42105263157895
BLOCK 1,7,1,2,5,5,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 1,8,5,5,1,2,0,2,6,17,100.0,64.70588235294117,68.42105263157895
BLOCK 1,9,1,2,5,5,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 1,10,5,4,1,1,0,0,0,7,0,100.0,100.0
BLOCK 1,11,4,5,1,1,0,2,1,9,100.0,88.88888888888889,90.9090909090909
BLOCK 1,12,5,5,1,2,0,1,2,12,100.0,83.33333333333334,84.61538461538461
BLOCK 1,13,5,5,1,1,0,2,6,18,100.0,66.66666666666666,70.0
BLOCK 2,1,1,1,5,5,3,12,1,4,75.0,75.0,75.0
BLOCK 2,2,5,4,1,1,0,3,4,12,100.0,66.66666666666666,73.33333333333333
BLOCK 2,3,2,1,5,5,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 2,4,5,2,1,5,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 2,5,1,1,5,5,2,9,0,3,77.77777777777779,100.0,83.33333333333334
BLOCK 2,6,2,1,5,5,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 2,7,1,1,4,5,8,21,2,6,61.904761904761905,66.66666666666666,62.96296296296296
BLOCK 2,8,5,4,1,1,3,10,3,11,70.0,72.72727272727273,71.42857142857143
BLOCK 2,9,1,1,5,5,2,7,0,5,71.42857142857143,100.0,83.33333333333334
BLOCK 2,10,5,1,1,4,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 2,11,5,5,1,2,2,9,1,4,77.77777777777779,75.0,76.92307692307693
BLOCK 2,12,2,5,5,1,0,4,0,3,100.0,100.0,100.0
BLOCK 2,13,1,2,5,5,0,7,5,10,100.0,50.0,70.58823529411765
BLOCK 3,1,2,5,5,1,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 3,2,2,5,5,1,0,3,0,4,100.0,100.0,100.0
BLOCK 3,3,1,2,5,5,0,5,2,6,100.0,66.66666666666666,81.81818181818183
BLOCK 3,4,5,5,1,1,3,11,3,9,72.72727272727273,66.66666666666666,70.0
BLOCK 3,5,1,4,5,1,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 3,6,4,1,1,5,1,4,0,5,75.0,100.0,88.88888888888889
BLOCK 3,7,5,5,2,1,0,3,0,4,100.0,100.0,100.0
BLOCK 3,8,5,1,1,4,4,12,3,9,66.66666666666666,66.66666666666666,66.66666666666666
BLOCK 3,9,1,1,5,5,2,6,0,6,66.66666666666666,100.0,83.33333333333334
BLOCK 3,10,5,1,1,4,2,7,0,4,71.42857142857143,100.0,81.81818181818183
BLOCK 3,11,5,5,2,1,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 3,12,5,5,1,1,1,6,1,6,83.33333333333334,83.33333333333334,83.33333333333334
BLOCK 3,13,1,1,4,5,0,5,2,6,100.0,66.66666666666666,81.81818181818183
BLOCK 4,1,5,1,1,4,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 4,2,5,1,2,5,3,12,1,5,75.0,80.0,76.47058823529412
BLOCK 4,3,5,1,1,4,0,4,3,9,100.0,66.66666666666666,76.92307692307693
BLOCK 4,4,5,5,1,2,3,10,1,5,70.0,80.0,73.33333333333333
BLOCK 4,5,1,1,5,4,8,22,0,1,63.63636363636363,100.0,65.21739130434783
BLOCK 4,6,5,4,1,1,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 4,7,1,5,5,2,0,4,3,9,100.0,66.66666666666666,76.92307692307693
BLOCK 4,8,1,2,5,5,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 4,9,2,5,5,1,0,2,2,9,100.0,77.77777777777779,81.81818181818183
BLOCK 4,10,5,5,1,1,0,8,0,0,100.0,0,100.0
BLOCK 4,11,2,1,5,5,2,6,1,7,66.66666666666666,85.71428571428571,76.92307692307693
BLOCK 4,12,5,4,1,1,0,2,3,11,100.0,72.72727272727273,76.92307692307693
BLOCK 4,13,1,1,5,5,1,4,7,20,75.0,65.0,66.66666666666666
BLOCK 5,1,5,5,1,2,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 5,2,1,4,5,1,0,1,2,12,100.0,83.33333333333334,84.61538461538461
BLOCK 5,3,1,1,4,5,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 5,4,5,4,1,1,1,7,2,6,85.71428571428571,66.66666666666666,76.92307692307693
BLOCK 5,5,1,1,5,5,3,10,3,10,70.0,70.0,70.0
BLOCK 5,6,5,5,2,1,0,6,5,13,100.0,61.53846153846154,73.68421052631578
BLOCK 5,7,5,1,1,5,3,13,4,9,76.92307692307693,55.55555555555556,68.18181818181817
BLOCK 5,8,1,5,4,1,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 5,9,5,1,2,5,4,13,1,3,69.23076923076923,66.66666666666666,68.75
BLOCK 5,10,5,4,1,1,2,9,3,8,77.77777777777779,62.5,70.58823529411765
BLOCK 5,11,2,1,5,5,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 5,12,1,1,4,5,0,4,0,3,100.0,100.0,100.0
BLOCK 5,13,5,5,1,2,4,12,1,5,66.66666666666666,80.0,70.58823529411765
BLOCK 6,1,5,2,1,5,2,10,2,5,80.0,60.0,73.33333333333333
BLOCK 6,2,1,5,5,2,0,2,0,5,100.0,100.0,100.0
BLOCK 6,3,1,5,5,2,2,9,0,2,77.77777777777779,100.0,81.81818181818183
BLOCK 6,4,2,1,5,5,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 6,5,1,1,4,5,1,7,0,2,85.71428571428571,100.0,88.88888888888889
BLOCK 6,6,5,2,1,5,0,1,5,16,100.0,68.75,70.58823529411765
BLOCK 6,7,4,5,1,1,0,5,0,2,100.0,100.0,100.0
BLOCK 6,8,5,5,2,1,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 6,9,5,4,1,1,2,7,2,8,71.42857142857143,75.0,73.33333333333333
