Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,1,1,5,5,1,10,0,0,90.0,0,90.0
Test 1,2,1,1,5,4,1,9,0,0,88.88888888888889,0,88.88888888888889
Test 1,3,1,1,5,4,3,11,0,2,72.72727272727273,100.0,76.92307692307693
Test 1,4,1,5,5,2,1,7,0,4,85.71428571428571,100.0,90.9090909090909
Test 1,5,5,1,1,5,2,8,0,4,75.0,100.0,83.33333333333334
Test 2,1,5,1,1,4,0,4,2,6,100.0,66.66666666666666,80.0
Test 2,2,5,5,1,1,3,13,0,1,76.92307692307693,100.0,78.57142857142857
Test 2,3,2,5,5,1,0,3,1,6,100.0,83.33333333333334,88.88888888888889
Test 2,4,1,1,5,4,0,2,1,7,100.0,85.71428571428571,88.88888888888889
Test 2,5,1,1,5,5,1,6,0,4,83.33333333333334,100.0,90.0
BLOCK 1,1,1,2,5,5,3,12,1,2,75.0,50.0,71.42857142857143
BLOCK 1,2,2,1,5,5,2,11,0,0,81.81818181818183,0,81.81818181818183
BLOCK 1,3,2,5,5,1,7,30,25,37,76.66666666666667,32.432432432432435,52.23880597014925
BLOCK 1,4,5,1,1,4,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 1,5,5,1,2,5,2,8,1,5,75.0,80.0,76.92307692307693
BLOCK 1,6,5,1,2,5,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 1,7,5,1,2,5,1,8,6,13,87.5,53.84615384615385,66.66666666666666
BLOCK 1,8,1,1,5,4,4,14,1,3,71.42857142857143,66.66666666666666,70.58823529411765
BLOCK 1,9,4,1,1,5,3,11,1,4,72.72727272727273,75.0,73.33333333333333
BLOCK 1,10,1,1,4,5,2,10,0,0,80.0,0,80.0
BLOCK 1,11,2,5,5,1,6,16,8,19,62.5,57.89473684210527,60.0
BLOCK 1,12,5,1,1,4,0,3,2,8,100.0,75.0,81.81818181818183
BLOCK 1,13,1,5,5,1,1,6,2,8,83.33333333333334,75.0,78.57142857142857
BLOCK 2,1,5,1,1,5,2,10,1,4,80.0,75.0,78.57142857142857
BLOCK 2,2,1,1,5,4,0,0,5,16,0,68.75,68.75
BLOCK 2,3,5,5,1,2,0,6,42,66,100.0,36.36363636363637,41.66666666666667
BLOCK 2,4,5,5,1,2,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 2,5,4,5,1,1,0,4,0,3,100.0,100.0,100.0
BLOCK 2,6,1,5,4,1,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 2,7,1,1,5,4,2,10,0,1,80.0,100.0,81.81818181818183
BLOCK 2,8,1,5,5,1,1,5,0,5,80.0,100.0,90.0
BLOCK 2,9,1,5,5,1,3,9,4,12,66.66666666666666,66.66666666666666,66.66666666666666
BLOCK 2,10,1,4,5,1,0,3,7,16,100.0,56.25,63.1578947368421
BLOCK 2,11,1,4,5,1,0,4,0,3,100.0,100.0,100.0
BLOCK 2,12,1,2,5,5,0,2,0,5,100.0,100.0,100.0
BLOCK 2,13,4,5,1,1,0,2,7,19,100.0,63.1578947368421,66.66666666666666
BLOCK 3,1,5,1,1,5,1,6,1,6,83.33333333333334,83.33333333333334,83.33333333333334
BLOCK 3,2,1,4,5,1,0,5,2,6,100.0,66.66666666666666,81.81818181818183
BLOCK 3,3,4,5,1,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 3,4,4,1,1,5,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 3,5,5,1,1,4,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 3,6,5,1,2,5,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 3,7,2,1,5,5,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 3,8,1,2,5,5,0,3,1,6,100.0,83.33333333333334,88.88888888888889
BLOCK 3,9,4,5,1,1,0,4,0,3,100.0,100.0,100.0
BLOCK 3,10,5,4,1,1,1,8,5,11,87.5,54.54545454545454,68.42105263157895
BLOCK 3,11,5,1,1,5,1,5,2,9,80.0,77.77777777777779,78.57142857142857
BLOCK 3,12,5,4,1,1,2,7,0,6,71.42857142857143,100.0,84.61538461538461
BLOCK 3,13,5,5,2,1,1,7,2,6,85.71428571428571,66.66666666666666,76.92307692307693
BLOCK 4,1,5,2,1,5,2,8,4,11,75.0,63.63636363636363,68.42105263157895
BLOCK 4,2,2,1,5,5,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 4,3,5,1,1,4,3,10,1,5,70.0,80.0,73.33333333333333
BLOCK 4,4,5,1,1,5,3,11,0,3,72.72727272727273,100.0,78.57142857142857
BLOCK 4,5,5,5,1,2,0,2,8,21,100.0,61.904761904761905,65.21739130434783
BLOCK 4,6,1,4,5,1,8,20,1,6,60.0,83.33333333333334,65.38461538461539
BLOCK 4,7,4,1,1,5,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 4,8,5,2,1,5,3,9,2,8,66.66666666666666,75.0,70.58823529411765
BLOCK 4,9,1,5,5,2,1,7,4,12,85.71428571428571,66.66666666666666,73.68421052631578
BLOCK 4,10,1,2,5,5,4,10,0,5,60.0,100.0,73.33333333333333
BLOCK 4,11,1,4,5,1,2,6,5,15,66.66666666666666,66.66666666666666,66.66666666666666
BLOCK 4,12,5,5,1,1,5,17,2,5,70.58823529411765,60.0,68.18181818181817
BLOCK 4,13,4,1,1,5,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 5,1,5,4,1,1,3,13,0,2,76.92307692307693,100.0,80.0
BLOCK 5,2,1,5,4,1,1,7,1,4,85.71428571428571,75.0,81.81818181818183
BLOCK 5,3,1,5,5,2,1,5,2,8,80.0,75.0,76.92307692307693
BLOCK 5,4,1,5,4,1,1,7,2,6,85.71428571428571,66.66666666666666,76.92307692307693
BLOCK 5,5,1,1,5,4,0,1,4,14,100.0,71.42857142857143,73.33333333333333
BLOCK 5,6,1,4,5,1,4,14,4,11,71.42857142857143,63.63636363636363,68.0
BLOCK 5,7,5,2,1,5,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 5,8,4,5,1,1,4,14,0,1,71.42857142857143,100.0,73.33333333333333
BLOCK 5,9,1,5,5,1,2,6,2,10,66.66666666666666,80.0,75.0
BLOCK 5,10,5,5,2,1,4,14,2,5,71.42857142857143,60.0,68.42105263157895
BLOCK 5,11,1,5,5,1,2,9,3,9,77.77777777777779,66.66666666666666,72.22222222222221
BLOCK 5,12,5,5,1,1,3,14,0,0,78.57142857142857,0,78.57142857142857
BLOCK 5,13,1,1,5,5,0,1,3,13,100.0,76.92307692307693,78.57142857142857
BLOCK 6,1,5,5,1,2,0,1,1,8,100.0,87.5,88.88888888888889
BLOCK 6,2,1,5,4,1,2,4,2,11,50.0,81.81818181818183,73.33333333333333
BLOCK 6,3,1,5,5,1,1,5,2,9,80.0,77.77777777777779,78.57142857142857
BLOCK 6,4,5,5,1,1,0,4,0,4,100.0,100.0,100.0
BLOCK 6,5,5,4,1,1,3,9,6,18,66.66666666666666,66.66666666666666,66.66666666666666
BLOCK 6,6,2,1,5,5,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 6,7,1,4,5,1,1,7,3,8,85.71428571428571,62.5,73.33333333333333
BLOCK 6,8,5,5,1,1,0,6,0,2,100.0,100.0,100.0
BLOCK 6,9,1,5,5,1,0,4,3,10,100.0,70.0,78.57142857142857
BLOCK 6,10,1,1,5,5,0,3,4,13,100.0,69.23076923076923,75.0
BLOCK 6,11,1,1,5,5,2,7,4,13,71.42857142857143,69.23076923076923,70.0
BLOCK 6,12,1,1,4,5,0,3,2,8,100.0,75.0,81.81818181818183
BLOCK 6,13,5,2,1,5,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 7,1,1,4,5,1,0,4,2,7,100.0,71.42857142857143,81.81818181818183
BLOCK 7,2,5,1,1,5,2,11,4,9,81.81818181818183,55.55555555555556,70.0
BLOCK 7,3,5,1,1,4,0,5,3,8,100.0,62.5,76.92307692307693
BLOCK 7,4,5,2,1,5,2,8,3,8,75.0,62.5,68.75
BLOCK 7,5,2,1,5,5,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 7,6,5,5,2,1,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 7,7,5,4,1,1,0,5,3,8,100.0,62.5,76.92307692307693
BLOCK 7,8,1,5,4,1,1,7,2,6,85.71428571428571,66.66666666666666,76.92307692307693
